lon,lat,transect,depth,num_samples
-62.84103855,44.5056702,Transect 1,110,6
-62.59416752,44.58843643,Transect 1,102.9278422,6
-62.34659711,44.67066635,Transect 1,110.8918803,6
-62.0983279,44.75235691,Transect 1,101.5375228,6
-62.88578354,44.55641299,Transect 2,67.99257073,6
-62.63890876,44.63950034,Transect 2,76.59399798,6
-62.39133061,44.72205133,Transect 2,76.47368248,6
-62.14304963,44.80406291,Transect 2,69.69007372,6
-62.93060634,44.60713777,Transect 3,34.2322149,4
-62.68351619,44.69022391,Transect 3,30,4
-62.43572081,44.77277274,Transect 3,30.88840898,4
-62.18722076,44.85478121,Transect 3,52.46993116,6
-62.97550722,44.65784447,Transect 4,27.38302424,4
-62.7282012,44.7409294,Transect 4,17.58249432,4
-62.48018809,44.82347607,Transect 4,9.157825187,2
-62.23146846,44.90548142,Transect 4,20.53969155,4
