Transect,Target_WP,Date_YYYYMMDD,Start_time_UTC_HHMMSS
CON11,CAM22_E,20230815,144845
CON12,CAM26_D,20230815,173211
CON13,CAM27_D,20230815,183321
CON14,CAM27_D,20230815,190217
CON15,CAM25_B,20230816,164706
CON16,CAM8_A,20230816,182054
CON17,CAM9_C,20230816,194050
CON18,CAM15_D,20230817,120910
CON19,CAM16_D,20230817,125836
CON20,CAM6_D,20230817,161539
CON21,none - inshore,20230820,172432
CON22,none - inshore,20230820,183152
CON23,CAM17_U,20230821,121926
CON24,CAM18_U,20230821,132056
CON25,CAM19_U,20230821,142811
CON26,CAM2_A,20230823,143112
CON27,CAM21_E,20230823,164148
CON28,CAM26_D,20230823,195606
