COMM,Median_Length,Mean_Length,Length_SD,Median_Weight,Mean_Weight,Weight_SD
4-LINE SNAKE BLENNY,17,16.625,1.922609833,44,40.5,12.34098862
ALEWIFE,26,26,NA,127,127,NA
ALLIGATOR FISH,12,11.14285714,2.971291206,3,3.666666667,2.008316044
AMERICAN PLAICE,18,19.45282241,6.548108106,45,73.88952718,85.24313379
ARCTIC EELPOUT,34,34,NA,206,206,NA
ARCTIC STAGHORN SCULPIN,18,18.5,3.415650255,60,57,14.73091986
ATLANTIC ROCK CRAB,132,128.3333333,6.350852961,NA,NA,NA
ATLANTIC SEA POACHER,19,19.35294118,1.041047053,24.5,24.23529412,4.07549085
ATLANTIC SPINY LUMPSUCKER,5,5,1,7,11.66666667,8.082903769
COD ATLANTIC,31,31.84970238,9.271836106,269,352.3363229,298.9714086
DAUBED SHANNY; LUMPENUS,13,11.8,1.788854382,6,5.6,2.302172887
NEWFOUNDLAND; INCL LYCODES ATLANTICUS; TERRAENOVA,39,37,3.464101615,306,274.3333333,75.64610587
EELPOUTS,31,31,NA,90,90,NA
FOURBEARD ROCKLING,22,21.3,4.856899596,51,49.3,27.56828842
GRUBBY OR LITTLE SCULPIN,6,6,0,3,3,0
HADDOCK,23,23,NA,115,115,NA
HALIBUT ATLANTIC,54,57.5,24.14539294,1746.5,3007.75,3602.660718
HERRING ATLANTIC,19,21.67241379,4.219370249,58,95.31034483,61.43180698
HOOKEAR SCULPIN,18,16.375,6.097813816,75.5,73.75,50.52722039
HOOKEAR SCULPIN,17.5,18.1,3.281259921,62,72.9,42.26490533
JONAH CRAB,125,120.8571429,24.56575239,NA,NA,NA
LAVAL'S EELPOUT,41,41,NA,395,395,NA
LONGFIN HAKE; UROPHYCIS,25,24.79036827,5.108061602,84,90.43909348,47.26824265
LONGHORN SCULPIN,25.5,26.66666667,5.125101625,193,237.6666667,151.548892
MACKEREL ATLANTIC,14,14,NA,17,17,NA
MAILED SCULPIN,11,11.72727273,0.904534034,12,10.54545455,2.876234913
MARLIN-SPIKE GRENADIER,22,21.46964286,8.288350331,25.5,28.46223022,17.20015749
MONKFISH,51,53.47619048,30.00269829,2004,4666.666667,5658.504514
NORTHERN STONE CRAB,68,72.08708709,23.19654333,NA,NA,NA
PALE EELPOUT,32.5,32.5,2.121320344,119,119,49.49747468
POLLOCK,23,23,NA,121,121,NA
REDFISH UNSEPARATED,21,20.99776072,4.460420942,130,138.5989474,88.56032443
RIBBED SCULPIN; PINGELI,12,12.57407407,3.7947424,15,30.40740741,103.9304046
SEASNAIL UNIDENTIFIED,10,10,NA,10,10,NA
SHORTHORN SCULPIN,18,20.48888889,7.563735916,82,191.3023256,315.181243
SHORTTAILED EELPOUT VAHL,32,30.82352941,5.681497317,100,128.5882353,93.22892444
SILVER HAKE,30,28.88772846,5.556980499,190,182.078534,85.33712125
SMOOTH SKATE,31,31.92571429,13.88541662,143,239.6875,251.8590968
SNAKE BLENNY; LUMPRETAEFORMIS,22,27.33333333,10.11599394,11,21.33333333,20.55075019
SNOW CRAB  QUEEN; INCL CHIONOECETES SP,58,58.08355324,21.76470065,75,112.222026,135.6608148
SNOWFLAKE HOOKEAR SCULPIN,17,16.625,3.159452936,60,61.125,30.51199998
STRIPED ATLANTIC WOLFFISH,25,26.02631579,7.766549958,122,179.1184211,156.0055526
THORNY SKATE,25,26.8790932,11.82620319,155,297.6221662,543.431185
TOAD CRAB,59,54.68085106,20.3342786,NA,NA,NA
GREENLAND HALIBUT,26,27.5,11.6052496,122,266.9705882,353.6650089
WHITE HAKE,36,37.14534884,7.610552088,341.5,437.2382353,384.6118516
WITCH FLOUNDER,31,30.42180649,5.718911207,182,190.9152593,99.19482968
YELLOWTAIL FLOUNDER; LIMANDA,22,22.06818182,3.844074271,92.5,96.60227273,52.78486804
