Species,Common Name,2015,2016,2017,2018,2019,2021,2022,2023
ACTINIARIA,Sea Anemones,79,73,48,57,84,49,91,89
AGONIDAE,Alligatorfishes,10,3,4,2,5,2,7,1
ALOSA PSEUDOHARENGUS,Alewife,NA,NA,NA,NA,NA,1,1,NA
AMBLYRAJA RADIATA,Thorny Skate,68,59,63,61,82,89,61,63
ANARHICHAS LUPUS,Atlantic Wolffish,20,17,8,17,6,17,19,17
ANARHICHAS MINOR,Spotted Wolffish,NA,1,NA,NA,NA,NA,NA,NA
ANTHOZOA,Corals and Anemones,4,2,1,1,4,4,1,6
APHRODITA HASTATA,Sea Mouse,NA,NA,NA,1,1,NA,NA,NA
ARGIS DENTATA,Arctic Shrimp,NA,2,NA,NA,NA,NA,3,NA
ARTEDIELLUS,Sculpis,NA,NA,NA,NA,13,3,NA,NA
ARTEDIELLUS ATLANTICUS,Atlantic Hookear Sculpin,NA,NA,10,NA,NA,NA,NA,NA
ARTEDIELLUS UNCINATUS,Arctic Hookear Sculpin,NA,NA,NA,8,NA,NA,NA,NA
ASCIDIA,Tunicates,1,6,6,3,13,5,17,7
ASTERIAS,Sea Stars,NA,NA,NA,NA,NA,3,NA,NA
ASTERIAS RUBENS,Common Starfish,NA,NA,NA,NA,1,NA,NA,NA
ASTEROIDEA,Sea Stars,13,36,37,83,67,176,133,212
ATLANTOPANDALUS PROPINQVUS,Pandalid Shrimp,NA,NA,NA,NA,NA,NA,2,NA
BOLOCERA,Sea Anemones,NA,NA,NA,NA,NA,NA,7,NA
BOLTENIA,Stalked Tunicate,315,103,130,261,97,105,174,209
BRISASTER FRAGILIS,Heart Urchin,37,82,11,126,52,14,3,1
BUCCINUM,Whelks,43,33,30,35,54,26,46,51
CALATHURA BRACHIATA,Marine Isopod,NA,NA,NA,NA,NA,1,NA,NA
CANCER BOREALIS,Jonah Crab,NA,1,NA,NA,NA,NA,3,3
CANCER IRRORATUS,Rock Crab,NA,1,NA,NA,1,NA,NA,NA
CAUDINA ARENATA,Sand Dwelling Sea Cucumber,NA,NA,NA,NA,NA,1,3,116
CHIONOECETES OPILIO,Snow Crab,430,294,409,515,997,383,205,311
CHLAMYS ISLANDICA,Iceland Scallop,5,NA,1,2,2,2,7,7
CIRRIPEDIA,Barnacles,NA,2,NA,NA,NA,35,NA,NA
CLUPEA HARENGUS,Atlantic Herring,6,91,2,3,1,50,157,30
CLYPEASTEROIDA,Sand Dollars,4,496,NA,204,10,30,173,86
CRANGON,Sand Shrimps,8,5,17,5,14,2,NA,NA
CROSSASTER PAPPOSUS,Common Sunstar,11,5,8,14,13,14,21,23
CTENODISCUS CRISPATUS,Cookie-cutter Seastar,634,5330,3163,2113,497,187,2331,374
CUCUMARIA FRONDOSA,Orange-footed Sea Cucumber,NA,NA,NA,NA,NA,NA,16,20
DECAPODA,Decapod crustaceans,NA,NA,NA,NA,4,8,1,NA
ENCHELYOPUS CIMBRIUS,Fourbeard Rockling,14,7,2,2,2,2,5,3
EUMESOGRAMMUS PRAECISUS,Fourline Snakeblenny,4,NA,2,NA,NA,1,2,2
EUMICROTREMUS SPINOSUS,Atlantic Spiny Lumpsucker,2,NA,NA,NA,1,NA,NA,1
EURYALIDA,Basket Stars,56,44,51,56,128,261,43,98
FLUSTRA FOLIACEA,Hornwrack,NA,NA,NA,NA,NA,NA,NA,4
GADUS MORHUA,Atlantic Cod,159,46,44,63,82,122,136,225
GLYPTOCEPHALUS CYNOGLOSSUS,Witch Flounder,736,658,956,3520,1723,707,1323,1292
GYMNOCANTHUS TRICUSPIS,Arctic Staghorn Sculpin,NA,NA,NA,NA,NA,NA,3,15
HALOCYNTHIA PYRIFORMIS,Sea Peach,NA,NA,NA,NA,NA,NA,1,NA
HEMITRIPTERUS AMERICANUS,Sea Raven,NA,NA,NA,NA,NA,1,NA,NA
HENRICIA SANGUINOLENTA,Northern Blood Star,18,24,10,24,50,43,45,16
HIPPASTERIA PHRYGIANA,Cushion Star,51,66,65,104,79,132,159,179
HIPPOGLOSSOIDES PLATESSOIDES,American Plaice,455,536,388,299,538,451,367,368
HIPPOGLOSSUS HIPPOGLOSSUS,Atlantic Halibut,2,1,NA,1,NA,1,NA,1
HOLOTHUROIDEA,Sea Cucumbers,19,26,12,38,8,28,NA,NA
HORMATHIA,Rugose Anemones,NA,NA,NA,NA,NA,NA,9,NA
HYAS ARANEUS,Great Spider Crab,6,1,8,1,9,6,1,NA
HYAS COARCTATUS,Arctic Lyre Crab,26,41,29,60,29,21,11,29
ICELUS BICORNIS,Twohorn Sculpin,NA,NA,NA,NA,NA,NA,1,NA
ILLEX ILLECEBROSUS,Northern Shortfin Squid,2,2,7,14,6,7,1,NA
LEBBEUS POLARIS,Polar Shrimp,NA,NA,NA,NA,NA,NA,2,NA
LEPTAGONUS DECAGONUS,Atlantic Poacher,1,4,2,NA,16,NA,11,1
LEPTASTERIAS (HEXASTERIAS) POLARIS,Polar Six-rayed Star,11,3,2,5,NA,NA,17,3
LEPTOCLINUS MACULATUS,Daubed Shanny,1,1,NA,1,2,3,NA,NA
LEUCORAJA OCELLATA,Winter Skate,NA,NA,NA,NA,NA,1,NA,NA
LIPARIS,Snailfishes,1,NA,NA,NA,NA,NA,NA,NA
LITHODES MAJA,Northern Stone Crab,38,21,28,43,38,59,104,81
LOPHIUS AMERICANUS,American Anglerfish,4,3,7,2,5,1,5,3
LUMPENUS LAMPRETAEFORMIS,Snakeblenny,NA,NA,NA,NA,NA,3,NA,NA
LYCODES,Eelpouts,8,NA,1,NA,1,3,NA,2
LYCODES LAVALAEI,Newfoundland Eelpout,NA,NA,NA,NA,NA,NA,1,NA
LYCODES PALLIDUS,Pale Eelpout,NA,NA,2,NA,NA,NA,NA,NA
LYCODES RETICULATUS,Arctic Eelpout,2,NA,NA,NA,NA,1,NA,NA
LYCODES TERRAENOVAE,Newfoundland Eelpout,NA,NA,NA,NA,NA,NA,NA,3
LYCODES VAHLII,Vahl's Eelpout,6,4,1,3,2,NA,3,3
MALACORAJA SENTA,Smooth Skate,20,18,30,53,62,22,29,45
MEDIASTER BAIRDI,Sea Star,69,17,8,NA,NA,NA,NA,NA
MELANOGRAMMUS AEGLEFINUS,Haddock,NA,NA,NA,NA,NA,NA,1,NA
MERLUCCIUS BILINEARIS,Silver Hake,4,58,38,47,12,164,66,46
MYOXOCEPHALUS AENAEUS,Grubby Sculpin,2,NA,NA,NA,NA,NA,NA,NA
MYOXOCEPHALUS OCTODECEMSPINOSUS,Longhorn Sculpin,1,2,NA,NA,1,3,1,2
MYOXOCEPHALUS SCORPIUS,Shorthorn Sculpin,5,5,3,3,5,15,13,NA
MYXINE LIMOSA,Hagfish,NA,NA,NA,NA,NA,NA,NA,1
MYZOPSETTA FERRUGINEA,Yellowtail Flounder,9,5,12,10,4,24,21,11
NEZUMIA BAIRDII,Marlin-spike Grenadier,108,100,75,81,85,89,202,73
NUDIBRANCHIA,Sea Slugs,NA,NA,NA,1,NA,NA,NA,NA
OCTOPODA,Octopus,13,12,10,15,12,24,16,13
OPHIURA SARSII,Common Brittle Star,NA,NA,NA,NA,NA,NA,59,NA
OPHIUROIDEA,Brittle Stars,278,272,198,61,208,65,61,28
PAGURIDAE,Hermit Crabs,33,43,46,19,34,5,15,5
PANDALUS BOREALIS,Northern Shrimp,542,843,650,554,446,86,112,21
PANDALUS MONTAGUI,Pink Shrimp,115,15,92,76,27,36,21,19
PASIPHAEA MULTIDENTATA,Pink Glass Shrimp,NA,NA,NA,1,NA,NA,NA,NA
PENNATULOIDEA,Sea Pens,2818,1308,1094,2037,905,1007,685,1275
PENTAGONASTER,Sea Stars,3,NA,NA,NA,NA,NA,NA,NA
PHYCIS CHESTERI,Longfin Hake,221,97,9,73,30,17,64,34
PLACOPECTEN MAGELLANICUS,Atlantic Sea Scallop,NA,NA,NA,NA,1,NA,NA,NA
POLLACHIUS VIRENS,Pollock,NA,NA,NA,NA,NA,NA,NA,1
POLYCHAETA,Polychaete worms,2,NA,2,1,8,2,5,NA
PONTOPHILUS NORVEGICUS,Sand Shrimp,5,NA,NA,NA,NA,NA,NA,NA
PORANIOMORPHA (PORANIOMORPHA) HISPIDA,Sea Star,2,NA,3,1,4,1,NA,NA
PORIFERA,Sponges,597,250,543,821,364,6692,634,348
PTERASTER MILITARIS,Wrinkled Star,NA,NA,NA,NA,1,NA,1,2
PYCNOGONIDA,Sea Spiders,9,4,3,6,7,1,1,NA
REINHARDTIUS HIPPOGLOSSOIDES,Grenland Halibut,10,4,5,4,7,1,6,3
SCLEROCRANGON,Shrimps,13,3,8,NA,NA,1,NA,5
SCLEROCRANGON BOREAS,Sculptured Shrimp,NA,NA,NA,NA,NA,NA,3,NA
SCOMBER SCOMBRUS,Atlantic Mackerel,1,NA,NA,NA,1,NA,3,NA
SCOMBERESOX SAURUS,Atlantic Saury,NA,NA,1,NA,NA,NA,NA,NA
SCYPHOZOA,Jellyfish,16,4,1,8,3,7,1,NA
SEBASTES SPP.,Redfish unsorted,4627,1976,2475,1828,487,588,2266,984
SEMIROSSIA TENERA,Lesser Bobtail Squid,11,2,1,NA,3,NA,4,NA
SOLASTER ENDECA,Purple Sunstar,6,4,5,3,23,22,8,4
SPIRONTOCARIS LILJEBORGII,Friendly Blade Shrimp,1,NA,NA,NA,NA,NA,NA,NA
SPIRONTOCARIS SPINUS,Parrot Shrimp,5,NA,NA,NA,NA,NA,1,NA
STRONGYLOCENTROTUS,Sea Urchins,NA,4,NA,NA,NA,NA,NA,NA
STRONGYLOCENTROTUS DROEBACHIENSIS,Green Sea Urchin,17,14,32,23,76,57,68,154
TRIGLOPS MURRAYI,Moustache Sculpin,NA,3,5,NA,3,NA,6,NA
TRIGLOPS PINGELII,Ribbed Sculpin,26,6,13,1,3,1,6,1
UROPHYCIS TENUIS,White Hake,149,71,32,79,35,31,65,62
VAZELLA POURTALESII,Russian Hat Sponge,NA,NA,NA,NA,NA,NA,3,NA
